slice,value,median_spread_counts,p90_spread_counts,share_gt20cts_pct,n
Re,5e+04,80.32,271.74,94.42,44685
Re,2e+05,31.04,175.69,63.78,44685
Re,5e+05,16.39,161.37,43.67,44685
Re,1e+06,10.26,133.92,31.27,44685
Re,5e+06,5.14,30.32,14.35,44685
Re,2e+07,3.69,15.44,7.64,44685
Re,1e+08,2.65,9.93,4.45,44685
alpha,-10,58.72,365.08,64.94,6620
alpha,-9,48.07,315.42,60.80,6620
alpha,-8,31.88,266.67,55.44,6620
alpha,-7,19.06,211.64,49.31,6620
alpha,-6,12.97,159.60,42.16,6620
alpha,-5,10.09,106.54,34.12,6620
alpha,-4,8.58,68.02,26.99,6620
alpha,-3,8.14,44.29,21.16,6620
alpha,-2,7.90,35.53,18.38,6620
alpha,-1,7.89,29.94,15.50,6620
alpha,0,7.74,27.37,13.97,6620
alpha,1,7.69,24.37,12.45,6620
alpha,2,7.41,23.50,12.37,6620
alpha,3,7.87,22.87,12.37,6620
alpha,4,8.10,23.88,13.19,6620
alpha,5,8.38,25.23,14.32,6620
alpha,6,8.92,28.54,16.96,6620
alpha,7,9.73,33.24,20.17,6620
alpha,8,10.95,44.68,25.51,6620
alpha,9,12.93,67.84,32.28,6620
alpha,10,15.44,100.61,40.26,6620
alpha,11,19.64,138.09,49.26,6620
alpha,12,25.67,182.28,58.81,6620
alpha,13,33.55,232.04,68.88,6620
alpha,14,44.45,298.04,77.82,6620
alpha,15,60.35,335.16,84.85,6620
alpha,16,80.16,379.10,90.94,6620
conf,[0.00-0.30),157.56,596.76,94.95,24915
conf,[0.30-0.50),89.61,341.72,86.64,9729
conf,[0.50-0.70),64.85,265.27,73.36,12026
conf,[0.70-0.80),39.77,220.74,62.39,12040
conf,[0.80-0.90),13.45,155.54,43.80,33527
conf,[0.90-0.95),6.36,71.66,24.87,64455
conf,[0.95-1.01),7.65,46.30,23.61,156103
