entry,Re,alpha,zCD_oof,dCL_oof
stec8|AQUILA,59400,-1.86,-0.14186,0.12861
stec8|AQUILA,59400,-0.83,-0.06029,0.08758
stec8|AQUILA,59400,0.18,-0.03322,0.02819
stec8|AQUILA,59400,1.2,-0.02103,-0.00574
stec8|AQUILA,59400,2.23,-0.01484,-0.03306
stec8|AQUILA,59400,3.23,-0.01208,-0.04207
stec8|AQUILA,59400,4.26,-0.01630,-0.06416
stec8|AQUILA,59400,5.27,-0.01630,-0.07699
stec8|AQUILA,59400,6.28,-0.01630,-0.10751
stec8|AQUILA,59400,7.3,-0.01784,-0.14108
stec8|AQUILA,59400,8.33,-0.03430,-0.14110
stec8|AQUILA,59400,9.34,-0.06080,-0.12696
stec8|AQUILA,59400,10.34,-0.12402,-0.10186
stec8|AQUILA,101100,-1.86,-0.00544,0.00317
stec8|AQUILA,101100,-0.84,-0.00150,-0.01701
stec8|AQUILA,101100,0.18,0.01553,-0.04159
stec8|AQUILA,101100,1.21,0.02893,-0.05143
stec8|AQUILA,101100,2.22,0.03788,-0.06199
stec8|AQUILA,101100,3.24,0.03788,-0.06983
stec8|AQUILA,101100,4.27,0.03788,-0.08125
stec8|AQUILA,101100,5.28,0.03788,-0.08470
stec8|AQUILA,101100,6.29,0.03788,-0.09196
stec8|AQUILA,101100,7.33,0.02868,-0.09935
stec8|AQUILA,101100,8.33,0.03016,-0.09633
stec8|AQUILA,101100,9.35,0.02795,-0.09527
stec8|AQUILA,101100,10.36,0.01964,-0.09608
stec8|AQUILA,101100,11.36,0.08069,-0.10920
stec8|AQUILA,150500,1.19,0.03579,-0.04750
stec8|AQUILA,150500,3.24,0.04473,-0.06337
stec8|AQUILA,150500,5.28,0.04473,-0.07549
stec8|AQUILA,150500,7.32,0.03553,-0.08523
stec8|AQUILA,150500,8.34,0.03480,-0.07223
stec8|AQUILA,150500,9.36,0.03241,-0.08191
stec8|AQUILA,150500,11.37,0.08754,-0.08941
stec8|AQUILA,203900,-1.89,0.00447,-0.01927
stec8|AQUILA,203900,-0.85,0.00831,-0.03170
stec8|AQUILA,203900,0.17,0.02454,-0.04196
stec8|AQUILA,203900,1.19,0.03794,-0.04707
stec8|AQUILA,203900,2.22,0.04689,-0.05851
stec8|AQUILA,203900,3.26,0.04689,-0.06400
stec8|AQUILA,203900,4.26,0.04689,-0.07290
stec8|AQUILA,203900,5.28,0.04689,-0.07250
stec8|AQUILA,203900,6.31,0.04689,-0.07765
stec8|AQUILA,203900,7.32,0.03661,-0.08424
stec8|AQUILA,203900,8.34,0.03696,-0.07578
stec8|AQUILA,203900,9.35,0.02878,-0.07901
stec8|AQUILA,203900,10.37,0.03287,-0.07807
stec8|AQUILA,203900,11.35,0.09443,-0.09837
stec8|AQUILA,301100,-3.93,-0.02438,0.02988
stec8|AQUILA,301100,-2.91,0.02719,0.01389
stec8|AQUILA,301100,-1.87,0.02212,-0.01607
stec8|AQUILA,301100,-0.89,0.02212,-0.01558
stec8|AQUILA,301100,0.14,0.03461,-0.03166
stec8|AQUILA,301100,1.13,0.04801,-0.03847
stec8|AQUILA,301100,2.18,0.05695,-0.05224
stec8|AQUILA,301100,3.21,0.05695,-0.05748
stec8|AQUILA,301100,4.23,0.05695,-0.06629
stec8|AQUILA,301100,5.28,0.05695,-0.07003
stec8|AQUILA,301100,6.3,0.05695,-0.07561
stec8|AQUILA,301100,7.32,0.04447,-0.07635
stec8|CLARK-Y,61300,-3.95,-0.22806,0.13252
stec8|CLARK-Y,61300,-2.92,-0.21142,0.14096
stec8|CLARK-Y,61300,-1.9,-0.20055,0.14522
stec8|CLARK-Y,61300,-0.88,-0.16197,0.08724
stec8|CLARK-Y,61300,0.15,-0.06698,0.04147
stec8|CLARK-Y,61300,1.18,-0.01323,-0.00641
stec8|CLARK-Y,61300,2.2,-0.00576,-0.03688
stec8|CLARK-Y,61300,3.24,0.00415,-0.08014
stec8|CLARK-Y,61300,4.26,0.00840,-0.09620
stec8|CLARK-Y,61300,5.28,0.00840,-0.09591
stec8|CLARK-Y,61300,6.29,0.00840,-0.10960
stec8|CLARK-Y,61300,7.32,0.00840,-0.13962
stec8|CLARK-Y,61300,8.33,-0.00902,-0.15040
stec8|CLARK-Y,61300,9.34,-0.01940,-0.14830
stec8|CLARK-Y,61300,10.35,-0.04178,-0.13321
stec8|CLARK-Y,61300,11.34,-0.05292,-0.14436
stec8|CLARK-Y,102600,-3.94,-0.18847,0.11370
stec8|CLARK-Y,102600,-2.92,-0.14766,0.07446
stec8|CLARK-Y,102600,-1.87,-0.06792,0.05662
stec8|CLARK-Y,102600,-0.85,-0.00827,-0.03733
stec8|CLARK-Y,102600,0.17,0.01829,-0.04891
stec8|CLARK-Y,102600,1.2,0.03586,-0.07342
stec8|CLARK-Y,102600,2.21,0.05122,-0.09016
stec8|CLARK-Y,102600,3.25,0.05423,-0.09691
stec8|CLARK-Y,102600,4.25,0.05423,-0.10000
stec8|CLARK-Y,102600,5.28,0.05423,-0.10514
stec8|CLARK-Y,102600,6.29,0.05423,-0.10722
stec8|CLARK-Y,102600,7.32,0.05423,-0.11745
stec8|CLARK-Y,102600,8.34,0.03434,-0.11415
stec8|CLARK-Y,102600,9.36,0.02855,-0.09345
stec8|CLARK-Y,102600,10.36,0.01523,-0.08916
stec8|CLARK-Y,102600,11.35,0.05633,-0.09936
stec8|CLARK-Y,203800,-3.96,-0.04542,0.01899
stec8|CLARK-Y,203800,-2.9,-0.01574,0.00527
stec8|CLARK-Y,203800,-1.91,0.01595,-0.02807
stec8|CLARK-Y,203800,-0.85,0.03682,-0.05421
stec8|CLARK-Y,203800,0.17,0.04671,-0.06857
stec8|CLARK-Y,203800,1.19,0.05986,-0.07766
stec8|CLARK-Y,203800,2.22,0.06487,-0.08439
stec8|CLARK-Y,203800,3.24,0.06487,-0.08776
stec8|CLARK-Y,203800,4.27,0.06487,-0.09087
stec8|CLARK-Y,203800,5.28,0.06487,-0.09432
stec8|CLARK-Y,203800,6.3,0.06487,-0.09449
stec8|CLARK-Y,203800,7.31,0.06487,-0.09705
stec8|CLARK-Y,203800,8.34,0.03563,-0.08551
stec8|CLARK-Y,203800,9.34,0.03659,-0.07934
stec8|CLARK-Y,203800,10.34,0.02974,-0.07808
stec8|CLARK-Y,203800,11.35,0.06981,-0.08355
stec8|CLARK-Y,301200,-4.93,-0.01474,0.01754
stec8|CLARK-Y,301200,-3.91,-0.00354,0.00866
stec8|CLARK-Y,301200,-2.9,0.02118,-0.00798
stec8|CLARK-Y,301200,-1.87,0.03653,-0.03394
stec8|CLARK-Y,301200,-0.86,0.04704,-0.03854
stec8|CLARK-Y,301200,0.16,0.04947,-0.06450
stec8|CLARK-Y,301200,1.2,0.06482,-0.07157
stec8|CLARK-Y,301200,2.23,0.06983,-0.07821
stec8|CLARK-Y,301200,3.24,0.06983,-0.08158
stec8|CLARK-Y,301200,4.26,0.06983,-0.08156
stec8|CLARK-Y,301200,5.29,0.06983,-0.08706
stec8|DAE51,60400,-2.91,-0.22953,0.14521
stec8|DAE51,60400,-1.89,-0.20854,0.13872
stec8|DAE51,60400,-0.87,-0.15395,0.09478
stec8|DAE51,60400,0.18,-0.12976,0.07951
stec8|DAE51,60400,1.2,-0.06044,0.05361
stec8|DAE51,60400,2.22,-0.02345,0.02047
stec8|DAE51,60400,3.24,0.00693,-0.01783
stec8|DAE51,60400,4.25,0.00882,-0.04965
stec8|DAE51,60400,5.29,-0.00409,-0.06182
stec8|DAE51,60400,6.28,-0.00409,-0.11091
stec8|DAE51,60400,7.31,-0.04193,-0.11246
stec8|DAE51,60400,8.31,-0.02544,-0.10149
stec8|DAE51,101400,-2.9,-0.17069,0.07245
stec8|DAE51,101400,-1.87,-0.06661,0.03499
stec8|DAE51,101400,-0.84,-0.03775,0.00226
stec8|DAE51,101400,0.18,-0.00758,-0.01565
stec8|DAE51,101400,1.22,0.02835,-0.02854
stec8|DAE51,101400,2.22,0.04752,-0.04708
stec8|DAE51,101400,3.25,0.04994,-0.07031
stec8|DAE51,101400,4.25,0.04994,-0.07565
stec8|DAE51,101400,5.29,0.04994,-0.09018
stec8|DAE51,101400,6.3,0.04994,-0.09536
stec8|DAE51,101400,7.33,0.02198,-0.09544
stec8|DAE51,101400,8.32,-0.00604,-0.07803
