# Re: Guidonia open-jet tunnel held Re approximately constant at 0.34-0.42e6 across all Mach (report p.13/15); nominal mid-band 3.8e5 recorded per point. Corrected 2026-08-23; see docs/protocol-deviations.md D10.
report,figure,airfoil,family,tc_percent,camber,Re,mach,transition,alpha_deg,CL_nominal,CD,quality_tier,method,uncertainty_cd,uncertainty_M,notes
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.400,free,"-1,0",,0.0116,A,agent-QC label-anchored,0.0005,0.004,CORRECTED 2026-08-23: replaces first manual read which was 5-8 counts high (glyph tops read instead of centers)
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.500,free,"-1,0",,0.0116,A,agent-QC label-anchored,0.0004,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.600,free,"-1,0",,0.0115,A,agent-QC label-anchored,0.0004,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.650,free,"-1,0",,0.0121,A,agent-QC label-anchored,0.0004,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.700,free,"-1,0",,0.0120,A,agent-QC label-anchored,0.0004,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.720,free,"-1,0",,0.0136,B,agent-QC label-anchored,0.0008,0.004,marker printed small/faint; confirmed in three crops
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.750,free,"-1,0",,0.0158,A,agent-QC label-anchored,0.0005,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.780,free,"-1,0",,0.0170,A,agent-QC label-anchored,0.0005,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.800,free,"-1,0",,0.0185,A,agent-QC label-anchored,0.0005,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.822,free,"-1,0",,0.0232,A,agent-QC label-anchored,0.0007,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.845,free,"-1,0",,0.0296,A,agent-QC label-anchored,0.0006,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.869,free,"-1,0",,0.0342,A,agent-QC label-anchored,0.0006,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.897,free,"-1,0",,0.0485,B,agent-QC label-anchored,0.0009,0.003,steep region; M uncertainty dominates
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.920,free,"-1,0",,0.0661,B,agent-QC label-anchored,0.0008,0.004,congested cluster; glyph confirmed at 16x
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.941,free,"-1,0",,0.0742,A,agent-QC label-anchored,0.0008,0.004,endpoint; the previously reported 0.078 endpoint was the alpha=1 square glyph
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.400,free,1,,0.0141,B,agent label-anchored,0.0006,0.004,overlaps alpha=-2 triangle through plateau; center from box edges
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.501,free,1,,0.0140,B,agent label-anchored,0.0005,0.004,overlaps alpha=-2 triangle
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.601,free,1,,0.0140,B,agent label-anchored,0.0005,0.004,overlaps alpha=-2 triangle
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.650,free,1,,0.0139,A,agent label-anchored,0.0004,0.004,clean glyph
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.700,free,1,,0.0149,A,agent label-anchored,0.0004,0.004,
WR-L143,33cont,2309,4-digit,9,2,3.8e5,0.750,free,1,,0.0169,A,agent label-anchored,0.0005,0.004,
