# CL(M) read from WR L-143 Fig 33 first sheet (scan p.80), NACA 2309, Guidonia, Re ~0.38e6.
# Read 2026-08-23 against printed axis labels (CL 0.1 per label / 0.05 per gridline; M 0.1 per label / 0.05 per gridline).
# u_CL: 0.010 for M <= 0.85 (plateau and peak), 0.02-0.03 in the lift-break dive (M > 0.85).
# Curve identities from the alpha label column on the figure: -1 = diamond, 0 = up-triangle, 1 = down-triangle, 2 = right-flag.
alpha,M,CL,u_CL
-1,0.40,0.095,0.010
-1,0.50,0.098,0.010
-1,0.60,0.105,0.010
-1,0.65,0.112,0.010
-1,0.70,0.122,0.010
-1,0.72,0.126,0.010
-1,0.75,0.133,0.010
-1,0.78,0.136,0.010
-1,0.80,0.132,0.010
-1,0.82,0.122,0.012
-1,0.85,0.078,0.020
-1,0.87,0.010,0.025
-1,0.90,-0.065,0.025
-1,0.92,-0.100,0.030
-1,0.94,-0.085,0.030
0,0.40,0.195,0.010
0,0.50,0.199,0.010
0,0.60,0.209,0.010
0,0.65,0.219,0.010
0,0.70,0.236,0.010
0,0.72,0.242,0.010
0,0.75,0.248,0.010
0,0.78,0.254,0.010
0,0.80,0.250,0.010
0,0.82,0.220,0.015
0,0.85,0.145,0.020
0,0.87,0.075,0.025
0,0.90,-0.070,0.025
0,0.92,-0.075,0.030
0,0.94,-0.050,0.030
1,0.40,0.285,0.010
1,0.50,0.290,0.010
1,0.60,0.300,0.010
1,0.65,0.307,0.010
1,0.70,0.320,0.010
1,0.72,0.328,0.010
1,0.75,0.340,0.010
1,0.78,0.350,0.010
1,0.80,0.348,0.010
1,0.82,0.332,0.015
1,0.85,0.275,0.020
1,0.87,0.215,0.025
1,0.90,0.050,0.030
1,0.92,0.020,0.030
1,0.94,0.040,0.030
2,0.40,0.390,0.010
2,0.50,0.395,0.010
2,0.60,0.405,0.010
2,0.65,0.415,0.010
2,0.70,0.430,0.010
2,0.72,0.440,0.010
2,0.75,0.455,0.010
2,0.78,0.465,0.010
2,0.80,0.463,0.010
2,0.82,0.448,0.015
2,0.85,0.380,0.020
2,0.87,0.320,0.025
2,0.90,0.150,0.030
2,0.92,0.130,0.030
2,0.94,0.185,0.030
