airfoil,n,cd_mae_counts,cd_median
vol1|GM15,85,216.0,101.6
vol2|E423,46,160.7,111.5
vol3|BW-3,88,110.9,83.9
stec8|NACA 6409,74,98.2,52.6
vol1|A18,47,96.6,28.3
vol3|LRN1007 (B),66,89.3,53.9
vol3|A18,40,86.5,52.7
vol1|MA409,47,85.3,47.9
stec8|SD7062,81,78.7,12.5
stec8|S4180,37,78.1,11.7
stec8|SD7003,55,77.8,7.6
stec8|WB135/35,86,76.7,18.8
vol2|M6 (65%),44,71.9,52.6
stec8|SD7090,92,71.4,16.5
vol2|RG15 (C),176,70.4,32.9
stec8|SD8020,86,67.3,16.9
vol3|SD7032 (D),36,67.1,62.9
vol2|S7055,68,66.5,28.4
stec8|E374B,92,64.8,22.0
vol2|MA409,44,64.0,38.0
vol1|S1223,73,63.4,31.8
vol3|E472,83,61.7,6.4
stec8|E205B,85,60.6,26.9
stec8|MILEY,69,59.3,31.8
vol3|S6063,60,58.2,21.6
vol2|S7012 (B),131,58.2,36.3
vol3|E387 (D),16,57.7,53.6
vol3|SD7062 (B),116,55.9,22.2
stec8|HQ2/9B,56,55.8,14.9
vol3|RG15 (C),68,54.9,26.1
stec8|S3010,68,54.6,15.9
stec8|SD8040,55,54.5,13.8
vol3|SD7037 (B),36,54.4,40.1
vol1|FX 63-137 (B),73,53.0,21.9
vol3|SG6043,181,51.9,17.7
vol2|S7075 (A),200,51.8,24.3
stec8|SD7032D,90,51.5,18.0
vol2|SD7037 (B),138,50.8,36.5
vol3|E387 (C),76,50.4,25.3
stec8|SD2030,49,49.5,16.8
stec8|SPICA,55,47.9,25.4
vol3|Goe 417a,47,46.6,26.4
vol2|S4083 (B),44,46.1,15.3
vol2|MH32,44,45.9,14.2
stec8|DAE51,70,44.3,18.5
vol3|SG6042,269,44.0,16.8
vol1|S7012 (B),59,43.4,22.0
stec8|RG15,70,43.1,15.0
stec8|SD2083,54,42.7,30.8
stec8|S2091A,49,42.5,14.7
vol3|S7012 (B),93,42.2,24.6
vol1|SD8000,46,41.8,10.4
vol3|Clark-Y (B),100,40.7,21.9
stec8|E193,61,40.6,15.1
stec8|S4061A,46,39.7,24.1
vol3|SG6040,160,39.7,17.9
vol2|DU 86-084/18,44,39.0,19.5
vol3|SG6041,149,38.7,22.9
vol2|E374 (B),68,38.2,19.9
stec8|SD7043,79,37.7,16.6
vol1|BE50,41,36.9,18.1
vol2|S4083 (A),44,35.9,9.7
vol1|E387 (A),55,35.8,18.0
vol3|E374 (B),65,35.5,16.6
vol1|NACA 64A010,40,35.4,24.2
vol3|SA7035,89,35.2,12.9
stec8|DF101,94,35.1,14.7
vol3|SD7037 (E),217,34.8,15.7
vol2|M6 (85%),44,34.5,29.3
stec8|NACA 0009,80,34.5,18.6
stec8|SD7080,90,33.9,14.6
vol1|R140 (A),33,33.9,9.2
vol1|MH45,50,33.7,15.8
stec8|E374A,86,33.7,16.3
vol1|RG15 (B),65,33.2,18.3
vol3|DH4009,59,33.2,9.4
vol1|E374 (B),86,32.4,16.7
vol3|USNPS-4,48,32.2,9.7
vol2|SD7037 (C),85,32.1,17.3
vol3|RG14,64,32.1,17.2
stec8|MB253515,132,32.1,15.1
vol2|CR-001,44,32.1,10.7
vol1|SD6060,85,31.2,12.6
stec8|SD6080,71,30.7,15.9
stec8|HQ2/9A,76,30.5,14.0
stec8|SD7037,70,30.4,21.3
stec8|SD6060,79,30.0,10.8
vol2|S7075 (B),44,29.9,12.5
vol3|SA7036 (A),72,29.6,9.8
stec8|FX60-100,73,29.2,14.3
vol3|S7075 (B),64,28.5,13.9
vol1|S7055,52,28.4,16.7
stec8|E214B,63,28.2,11.2
stec8|NACA 64A010,67,28.2,22.5
vol1|S1210,85,28.0,15.8
vol1|SD8020,63,27.9,20.2
stec8|S2048,62,27.8,14.1
vol3|PT-40 (A),64,27.7,13.4
vol2|NACA 2415,44,27.6,14.7
stec8|S3014,69,27.4,18.8
stec8|DF102,83,27.4,7.4
vol2|S5010,44,27.0,15.2
vol2|S8025,44,26.8,14.4
stec8|SD7032B,64,26.7,16.8
vol1|K3311,46,26.7,13.2
stec8|SD7084,55,26.6,4.7
stec8|J5012,83,26.5,15.0
vol1|NACA 6409,25,26.5,13.1
stec8|CLARK-Y,62,26.4,10.8
vol3|S7075 (A),127,26.4,11.4
stec8|E214A,68,26.4,8.7
stec8|E214C F0,85,26.3,8.0
stec8|E205A,72,26.1,10.0
vol3|Avistar,57,26.0,12.9
stec8|E387B,30,25.7,14.5
vol1|SD7037 (B),56,25.6,9.5
stec8|S3021A,72,25.5,10.3
stec8|FX63-137A,39,24.8,11.0
stec8|AQUILA,65,24.5,21.0
stec8|S4061B,67,24.3,13.4
stec8|S2091B,73,24.2,19.9
stec8|E387A,73,24.0,10.3
vol3|SD7037 (D),81,23.9,6.8
stec8|S4062,75,23.8,10.9
vol3|E231,81,23.7,8.2
stec8|SD7032C F0,77,23.2,12.6
vol1|S6062,30,21.9,6.5
vol1|SD7037 (A),44,21.7,14.7
stec8|FX63-137B,75,21.7,10.2
stec8|S3016,79,21.0,14.4
vol1|SD7003,44,20.9,10.2
stec8|SD8000,72,20.9,19.6
vol3|SD7080,72,20.6,9.8
vol1|SD7032 (D),56,20.2,7.6
vol1|SD7032 (E),12,20.0,7.1
vol3|SA7038,71,19.5,13.2
vol3|PT-40 (B),62,18.3,15.2
stec8|S4233,89,18.2,12.2
vol1|GEMINI,39,18.0,11.8
vol2|NACA 2414,44,17.9,12.5
vol3|SA7036 (B),70,16.3,11.9
vol1|WASP,43,16.3,4.0
stec8|SD5060,79,16.2,9.7
vol3|Trainer 60,83,16.1,5.2
stec8|S3021B,43,15.8,5.6
vol3|S8036,92,13.7,9.2
vol3|S8037,85,10.1,8.0
vol3|S8052,86,8.3,5.2
