entry,Re,clmax_meas,astall_meas,clmax_mean8,astall_mean8,clmax_xlarge,astall_xlarge
stec8|AQUILA,59343.0,1.15,9.73,1.3020358021915888,11.0,1.3765895470547829,11.25
stec8|AQUILA,78441.0,1.26,12.44,1.38016463625344,11.25,1.392969315258535,11.5
stec8|AQUILA,101444.0,1.29,12.05,1.3847969984682407,11.25,1.3921993653280282,11.0
stec8|CLARK-Y,60454.0,1.18,12.22,1.3051376318467278,11.75,1.372723396059001,12.75
stec8|CLARK-Y,81710.0,1.2,11.42,1.3531508287976102,13.5,1.3830974937513292,14.0
stec8|CLARK-Y,98941.0,1.2,10.62,1.357681039513498,14.0,1.379793320872761,14.5
stec8|DAE51,62483.0,1.2,12.23,1.374793706292703,11.5,1.4031483128135243,11.75
stec8|DAE51,80693.0,1.21,12.64,1.3983181786491636,11.75,1.4189841663830725,12.0
stec8|DAE51,100727.0,1.35,14.72,1.4099652728531475,12.25,1.427532868845627,12.0
stec8|E205B,39528.0,1.08,13.62,0.9399375276260377,11.25,1.0184298699808885,11.5
stec8|E205B,58925.0,1.12,13.32,1.1819579563070988,11.75,1.2249081489769635,12.25
stec8|E205B,83049.0,1.07,10.41,1.2174195053108376,12.25,1.2362559566684306,12.5
stec8|E205B,100025.0,1.08,10.02,1.2277267643622498,12.5,1.2411927773589524,12.5
stec8|E374B,60325.0,1.03,14.1,1.0803846593388982,10.5,1.1092308978863559,10.75
stec8|E374B,80398.0,1.04,13.6,1.1044714934742792,10.75,1.1274362847652897,10.75
stec8|E374B,101252.0,1.09,13.31,1.11473583795253,11.0,1.1351871212876699,10.75
stec8|E387A,40512.0,1.09,11.4,1.1883654493370626,10.75,1.2774593129204839,11.25
stec8|E387A,61706.0,1.13,13.02,1.2688201482626988,11.25,1.292527951393335,11.5
stec8|E387A,79758.0,1.23,14.64,1.2917666955888372,11.5,1.3079907764678418,11.5
stec8|E387A,99898.0,1.27,15.16,1.3035447200494539,11.5,1.3182445834851622,11.5
stec8|HQ2/9A,59692.0,1.04,11.24,1.1023256276035835,9.5,1.1013391121831542,9.25
stec8|HQ2/9A,101265.0,1.11,22.33,1.1419866342887843,9.75,1.1361022084468613,9.5
stec8|HQ2/9A,198829.0,1.13,12.24,1.1870038576458528,10.5,1.1848398818977375,10.25
stec8|HQ2/9B,60083.0,1.02,11.4,1.1030394344963124,9.5,1.1018270213487553,9.25
stec8|HQ2/9B,80104.0,1.1,12.6,1.1276066526523603,9.75,1.1225230790223737,9.5
stec8|HQ2/9B,101503.0,1.08,12.73,1.142105261951163,9.75,1.136234987800345,9.5
stec8|MB253515,18557.0,0.78,16.81,0.8185881365572276,20.0,0.8215486025064338,20.0
stec8|MB253515,29302.0,1.16,14.89,0.8208345024712538,20.0,0.8258911675293233,20.0
stec8|MB253515,40442.0,1.13,12.86,0.8256352123997156,14.5,1.0263510522423678,14.75
stec8|MB253515,50280.0,1.14,11.67,0.9217794051280633,14.5,1.0976169286083497,14.5
stec8|MB253515,59777.0,1.13,10.46,0.9895691250331606,14.5,1.1123425414611354,14.75
stec8|MB253515,70064.0,1.07,10.82,1.0472056074264167,14.25,1.123840147643463,14.75
