source,airfoil,config,Re,alpha,CL,CD,u_cd_span
vol1,A18,clean,40000.0,-1.16,0.117,0.0244,0.0043500000000000014
vol1,A18,clean,40000.0,0.93,0.324,0.0202,0.0049
vol1,A18,clean,40000.0,2.82,0.54,0.0349,0.005500000000000001
vol1,A18,clean,40000.0,5.05,0.842,0.0405,0.00605
vol1,A18,clean,40000.0,7.04,1.007,0.0314,0.007299999999999999
vol1,A18,clean,40000.0,9.08,1.108,0.0283,0.006700000000000001
vol1,A18,clean,40000.0,11.1,1.155,0.0572,0.011200000000000005
vol1,A18,clean,60700.0,-2.07,0.027,0.0229,0.00115
vol1,A18,clean,60700.0,-0.17,0.216,0.0182,0.0019000000000000006
vol1,A18,clean,60700.0,1.14,0.407,0.0201,0.00445
vol1,A18,clean,60700.0,2.44,0.591,0.0214,0.0062499999999999995
vol1,A18,clean,60700.0,4.17,0.81,0.0231,0.0023499999999999997
vol1,A18,clean,60700.0,6.02,0.967,0.0207,0.0050999999999999995
vol1,A18,clean,60700.0,7.62,1.057,0.0243,0.0069
vol1,A18,clean,60700.0,9.15,1.141,0.0318,0.0071
vol1,A18,clean,60700.0,10.41,1.186,0.0395,0.0081
vol1,A18,clean,100700.0,-1.53,0.084,0.0183,0.0020999999999999994
vol1,A18,clean,100700.0,-0.37,0.266,0.0141,0.0006000000000000007
vol1,A18,clean,100700.0,1.1,0.468,0.0147,0.0014500000000000008
vol1,A18,clean,100700.0,2.82,0.653,0.0161,0.0014500000000000008
vol1,A18,clean,100700.0,4.38,0.787,0.0153,0.00145
vol1,A18,clean,100700.0,5.94,0.92,0.0165,0.0006499999999999995
vol1,A18,clean,100700.0,7.6,1.024,0.024,0.0012500000000000011
vol1,A18,clean,100700.0,9.01,1.105,0.03,0.00145
vol1,A18,clean,100700.0,10.18,1.145,0.0366,0.004799999999999999
vol1,A18,clean,201800.0,-1.55,0.199,0.0126,0.0013500000000000005
vol1,A18,clean,201800.0,0.17,0.385,0.0093,0.0007000000000000001
vol1,A18,clean,201800.0,1.53,0.525,0.0089,0.0012000000000000005
vol1,A18,clean,201800.0,2.93,0.673,0.01,0.0013
vol1,A18,clean,201800.0,4.38,0.809,0.0117,0.0013
vol1,A18,clean,201800.0,5.59,0.906,0.014,0.0015499999999999993
vol1,A18,clean,201800.0,7.5,1.045,0.0196,0.0007499999999999989
vol1,A18,clean,201800.0,8.93,1.135,0.0249,0.0009500000000000012
vol1,A18,clean,201800.0,10.22,1.191,0.0316,0.0017499999999999998
vol1,A18,clean,204500.0,-5.29,-0.375,0.0685,0.0028499999999999984
vol1,A18,clean,204500.0,-3.39,-0.093,0.0178,0.0008000000000000004
vol1,A18,clean,300400.0,-2.37,0.122,0.0108,0.0005999999999999998
vol1,A18,clean,300400.0,-0.45,0.327,0.01,0.0006500000000000004
vol1,A18,clean,300400.0,0.94,0.474,0.008,9.99999999999994e-05
vol1,A18,clean,300400.0,2.39,0.622,0.0082,0.0005500000000000001
vol1,A18,clean,300400.0,4.28,0.792,0.0099,0.0013
vol1,A18,clean,300400.0,5.81,0.914,0.0139,0.0006500000000000004
vol1,A18,clean,300400.0,7.94,1.077,0.0194,0.0005500000000000001
vol1,A18,clean,300400.0,9.31,1.156,0.0234,0.0008000000000000004
vol1,A18,clean,300400.0,10.27,1.192,0.0295,0.0017000000000000001
vol1,A18,clean,305600.0,-5.35,-0.332,0.0623,0.010099999999999998
vol1,A18,clean,305600.0,-3.58,-0.057,0.0137,0.0009499999999999995
vol1,BE50,clean,60300.0,-1.74,0.032,0.0206,0.0019500000000000003
vol1,BE50,clean,60300.0,-0.12,0.188,0.0158,0.0017499999999999998
vol1,BE50,clean,60300.0,1.36,0.436,0.014,0.002
vol1,BE50,clean,60300.0,2.99,0.619,0.018,0.0023499999999999997
vol1,BE50,clean,60300.0,4.52,0.762,0.0227,0.00865
vol1,BE50,clean,60300.0,5.79,0.868,0.0189,0.0008500000000000001
vol1,BE50,clean,60300.0,7.47,1.001,0.0276,0.007600000000000001
vol1,BE50,clean,60300.0,9.05,1.12,0.029,0.0025000000000000005
vol1,BE50,clean,60300.0,10.53,1.207,0.0347,0.003300000000000001
vol1,BE50,clean,101000.0,-3.48,-0.129,0.0272,0.0026
vol1,BE50,clean,101000.0,-1.75,0.019,0.0174,0.0005500000000000001
vol1,BE50,clean,101000.0,-0.28,0.235,0.0125,0.0017499999999999998
vol1,BE50,clean,101000.0,1.42,0.462,0.0123,0.0011999999999999997
vol1,BE50,clean,101000.0,3.46,0.653,0.0146,0.0011000000000000003
vol1,BE50,clean,101000.0,4.3,0.73,0.0159,0.00115
vol1,BE50,clean,101000.0,5.99,0.879,0.0193,0.0013500000000000005
vol1,BE50,clean,101000.0,7.32,0.995,0.0225,0.0009999999999999992
vol1,BE50,clean,101000.0,9.23,1.146,0.0271,0.0010499999999999989
vol1,BE50,clean,101000.0,10.39,1.199,0.033,0.0025000000000000005
vol1,BE50,clean,201700.0,-5.41,-0.365,0.0707,0.0045499999999999985
vol1,BE50,clean,201700.0,-3.12,-0.09,0.0186,0.0020999999999999994
vol1,BE50,clean,201700.0,-1.73,0.1,0.0124,0.0015000000000000005
vol1,BE50,clean,201700.0,-0.44,0.244,0.0099,0.0015999999999999999
vol1,BE50,clean,201700.0,1.28,0.434,0.0087,0.0006500000000000004
vol1,BE50,clean,201700.0,2.81,0.589,0.0098,0.0006499999999999995
vol1,BE50,clean,201700.0,4.38,0.739,0.012,0.0007999999999999995
vol1,BE50,clean,201700.0,5.72,0.865,0.0147,0.0013000000000000008
vol1,BE50,clean,201700.0,7.57,1.031,0.0174,0.00045000000000000075
vol1,BE50,clean,201700.0,8.84,1.13,0.0204,0.0008999999999999998
vol1,BE50,clean,201700.0,10.39,1.209,0.0301,0.001400000000000002
vol1,BE50,clean,302700.0,-5.1,-0.32,0.0618,0.0035499999999999976
vol1,BE50,clean,302700.0,-3.45,-0.088,0.017,0.0019000000000000006
vol1,BE50,clean,302700.0,-2.18,0.068,0.0117,0.0012500000000000002
vol1,BE50,clean,302700.0,-0.34,0.261,0.0091,0.0009500000000000003
vol1,BE50,clean,302700.0,1.24,0.427,0.0076,0.0005500000000000001
vol1,BE50,clean,302700.0,2.9,0.595,0.0087,0.00010000000000000026
vol1,BE50,clean,302700.0,4.34,0.736,0.0105,0.0007000000000000001
vol1,BE50,clean,302700.0,6.22,0.924,0.0133,0.0007499999999999998
vol1,BE50,clean,302700.0,7.75,1.061,0.0158,0.0006500000000000004
vol1,BE50,clean,302700.0,9.19,1.158,0.0204,0.0014000000000000002
vol1,BE50,clean,302700.0,10.5,1.222,0.0276,0.0015499999999999993
vol1,CH 10-48-13,modified,199600.0,1.32,0.957,0.0185,0.0013000000000000008
vol1,CH 10-48-13,modified,199600.0,2.32,1.052,0.0179,0.0008999999999999998
vol1,CH 10-48-13,modified,199600.0,3.43,1.155,0.0174,0.0011000000000000003
vol1,CH 10-48-13,modified,199600.0,5.19,1.306,0.0186,0.0008999999999999998
vol1,CH 10-48-13,modified,199600.0,7.29,1.502,0.0212,0.0006999999999999992
vol1,CH 10-48-13,modified,199600.0,9.56,1.696,0.0252,0.0009499999999999995
vol1,CH 10-48-13,modified,199600.0,11.71,1.872,0.031,0.0013499999999999988
