source,airfoil,config,geom_kind,Re,alpha,CL_meas,CD_meas,u_cd_span,CL_xxsmall,CL_xsmall,CL_small,CL_medium,CL_large,CL_xlarge,CL_xxlarge,CL_xxxlarge,CD_xxsmall,CD_xsmall,CD_small,CD_medium,CD_large,CD_xlarge,CD_xxlarge,CD_xxxlarge,conf_xlarge,tc
stec8,AQUILA,clean,profiler,59400.0,-1.86,0.261,0.0238,,0.00628,-0.00104,0.00444,-0.00391,-0.01098,0.00931,0.01329,0.03020,0.030482,0.032272,0.033563,0.035184,0.035721,0.035147,0.035422,0.034667,0.8030,0.0940
stec8,AQUILA,clean,profiler,59400.0,-0.83,0.352,0.0224,,0.16642,0.16365,0.17070,0.20435,0.22101,0.20970,0.21022,0.21591,0.024098,0.027684,0.028556,0.029409,0.030773,0.030107,0.029499,0.028811,0.9486,0.0940
stec8,AQUILA,clean,profiler,59400.0,0.18,0.445,0.0213,,0.32426,0.33712,0.35372,0.37154,0.36388,0.37159,0.38192,0.38599,0.022188,0.024127,0.024513,0.024413,0.025730,0.025912,0.025311,0.023903,0.9552,0.0940
stec8,AQUILA,clean,profiler,59400.0,1.2,0.525,0.0224,,0.47020,0.49918,0.51237,0.51051,0.50286,0.51264,0.51433,0.50652,0.022957,0.023135,0.023979,0.024254,0.024757,0.024789,0.024886,0.025271,0.9610,0.0940
stec8,AQUILA,clean,profiler,59400.0,2.23,0.607,0.0298,,0.60176,0.63066,0.63756,0.63217,0.61765,0.62426,0.61846,0.61500,0.024961,0.025298,0.025648,0.025624,0.026340,0.026686,0.026190,0.026917,0.9691,0.0940
stec8,AQUILA,clean,profiler,59400.0,3.23,0.686,0.0291,,0.71691,0.74522,0.74265,0.74314,0.72230,0.72213,0.71651,0.71494,0.027227,0.027823,0.027926,0.027124,0.027840,0.028427,0.027809,0.028345,0.9697,0.0940
stec8,AQUILA,clean,profiler,59400.0,4.26,0.764,0.0354,,0.82415,0.85346,0.84351,0.84572,0.82576,0.81917,0.81636,0.81534,0.029594,0.030450,0.030449,0.028853,0.029459,0.030129,0.029533,0.030006,0.9700,0.0940
stec8,AQUILA,clean,profiler,59400.0,5.27,0.839,0.0358,,0.91802,0.94976,0.93725,0.93833,0.92507,0.91471,0.91150,0.91220,0.031929,0.032873,0.033083,0.031034,0.031286,0.031742,0.031401,0.032093,0.9718,0.0940
stec8,AQUILA,clean,profiler,59400.0,6.28,0.911,0.0404,,0.99924,1.03475,1.02780,1.02467,1.02307,1.01247,1.00532,1.00882,0.034377,0.035240,0.035907,0.033719,0.033379,0.033368,0.033576,0.034160,0.9756,0.0940
stec8,AQUILA,clean,profiler,59400.0,7.3,0.989,0.0373,,1.06534,1.10613,1.11794,1.10363,1.11940,1.11179,1.10026,1.10364,0.037321,0.038017,0.038640,0.036697,0.035703,0.035232,0.035628,0.035994,0.9800,0.0940
