entry,Re,alpha,CL_xf,CD_xf
stec8|AQUILA,59400.0,-1.86,-0.0227,0.036890
stec8|AQUILA,59400.0,-0.83,0.1492,0.031340
stec8|AQUILA,59400.0,0.18,0.3141,0.028000
stec8|AQUILA,59400.0,1.20,0.4944,0.026000
stec8|AQUILA,59400.0,2.23,0.6004,0.027520
stec8|AQUILA,59400.0,3.23,0.7136,0.028220
stec8|AQUILA,59400.0,4.26,0.8072,0.030100
stec8|AQUILA,59400.0,5.27,0.8993,0.032110
stec8|AQUILA,59400.0,6.28,0.9994,0.033670
stec8|AQUILA,59400.0,7.30,1.0781,0.037230
stec8|AQUILA,59400.0,8.33,1.1810,0.038960
stec8|AQUILA,59400.0,9.34,1.2698,0.040760
stec8|AQUILA,59400.0,10.34,1.3407,0.041380
stec8|AQUILA,101100.0,-1.86,0.1884,0.024030
stec8|AQUILA,101100.0,-0.84,0.3123,0.019830
stec8|AQUILA,101100.0,0.18,0.4608,0.014910
stec8|AQUILA,101100.0,1.21,0.5572,0.015530
stec8|AQUILA,101100.0,2.22,0.6557,0.016160
stec8|AQUILA,101100.0,3.24,0.7552,0.016980
stec8|AQUILA,101100.0,4.27,0.8566,0.017890
stec8|AQUILA,101100.0,5.28,0.9543,0.019040
stec8|AQUILA,101100.0,6.29,1.0528,0.020360
stec8|AQUILA,101100.0,7.33,1.1477,0.022210
stec8|AQUILA,101100.0,8.33,1.2358,0.024200
stec8|AQUILA,101100.0,9.35,1.3123,0.025950
stec8|AQUILA,101100.0,10.36,1.3640,0.028280
stec8|AQUILA,101100.0,11.36,1.3451,0.032540
stec8|AQUILA,101100.0,12.37,1.2989,0.043930
stec8|AQUILA,101100.0,13.37,1.2577,0.059330
stec8|AQUILA,150500.0,1.19,0.5560,0.011800
stec8|AQUILA,150500.0,3.24,0.7584,0.013100
stec8|AQUILA,150500.0,5.28,0.9582,0.014910
stec8|AQUILA,150500.0,7.32,1.1489,0.017690
stec8|AQUILA,150500.0,8.34,1.2361,0.019380
stec8|AQUILA,150500.0,9.36,1.3107,0.021280
stec8|AQUILA,150500.0,11.37,1.3517,0.028960
stec8|AQUILA,203900.0,-0.85,0.3097,0.014140
stec8|AQUILA,203900.0,0.17,0.4129,0.012300
stec8|AQUILA,203900.0,1.19,0.5549,0.009980
stec8|AQUILA,203900.0,2.22,0.6564,0.010530
stec8|AQUILA,203900.0,3.26,0.7594,0.011190
stec8|AQUILA,203900.0,4.26,0.8579,0.011920
stec8|AQUILA,203900.0,5.28,0.9572,0.012840
stec8|AQUILA,203900.0,6.31,1.0549,0.013990
stec8|AQUILA,203900.0,7.32,1.1477,0.015420
stec8|AQUILA,203900.0,8.34,1.2332,0.016950
stec8|AQUILA,203900.0,9.35,1.3091,0.018790
stec8|AQUILA,203900.0,10.37,1.3590,0.021450
stec8|AQUILA,203900.0,11.35,1.3557,0.027170
stec8|AQUILA,203900.0,12.37,1.3098,0.039480
stec8|AQUILA,203900.0,13.38,1.2778,0.053890
stec8|AQUILA,203900.0,14.36,1.2665,0.067370
stec8|AQUILA,301100.0,-1.87,0.1900,0.017730
stec8|AQUILA,301100.0,1.13,0.5481,0.008320
stec8|AQUILA,301100.0,2.18,0.6519,0.008810
stec8|AQUILA,301100.0,3.21,0.7540,0.009370
stec8|AQUILA,301100.0,4.23,0.8549,0.010050
stec8|AQUILA,301100.0,5.28,0.9574,0.010940
stec8|AQUILA,301100.0,6.30,1.0551,0.011970
stec8|AQUILA,301100.0,7.32,1.1489,0.013280
stec8|CLARK-Y,61300.0,-2.92,-0.3571,0.033810
stec8|CLARK-Y,61300.0,-1.90,-0.2536,0.030740
stec8|CLARK-Y,61300.0,-0.88,-0.0878,0.028920
stec8|CLARK-Y,61300.0,0.15,0.1243,0.029790
stec8|CLARK-Y,61300.0,1.18,0.2909,0.031550
stec8|CLARK-Y,61300.0,2.20,0.4222,0.032550
stec8|CLARK-Y,61300.0,3.24,0.6039,0.031200
stec8|CLARK-Y,61300.0,4.26,0.7405,0.030180
stec8|CLARK-Y,61300.0,5.28,0.8716,0.029650
stec8|CLARK-Y,61300.0,6.29,0.9965,0.030160
stec8|CLARK-Y,61300.0,7.32,1.0739,0.033020
stec8|CLARK-Y,61300.0,8.33,1.1862,0.032350
stec8|CLARK-Y,61300.0,9.34,1.2483,0.034080
stec8|CLARK-Y,61300.0,10.35,1.2794,0.036950
stec8|CLARK-Y,61300.0,11.34,1.2986,0.042430
stec8|CLARK-Y,102600.0,-3.94,-0.3030,0.030400
stec8|CLARK-Y,102600.0,-2.92,-0.1595,0.026170
stec8|CLARK-Y,102600.0,-1.87,-0.0207,0.023690
stec8|CLARK-Y,102600.0,-0.85,0.2446,0.020270
stec8|CLARK-Y,102600.0,1.20,0.5437,0.018120
stec8|CLARK-Y,102600.0,2.21,0.6626,0.017380
stec8|CLARK-Y,102600.0,3.25,0.7726,0.017050
stec8|CLARK-Y,102600.0,4.25,0.8722,0.017180
stec8|CLARK-Y,102600.0,5.28,0.9640,0.018190
stec8|CLARK-Y,102600.0,6.29,1.0518,0.019760
stec8|CLARK-Y,102600.0,7.32,1.1304,0.021280
stec8|CLARK-Y,102600.0,8.34,1.2028,0.023180
stec8|CLARK-Y,102600.0,9.36,1.2537,0.025050
stec8|CLARK-Y,102600.0,10.36,1.2464,0.027820
stec8|CLARK-Y,102600.0,11.35,1.2497,0.033250
stec8|CLARK-Y,203800.0,-3.96,-0.0816,0.017580
stec8|CLARK-Y,203800.0,-2.90,0.0486,0.014980
stec8|CLARK-Y,203800.0,-1.91,0.1706,0.012550
stec8|CLARK-Y,203800.0,-0.85,0.3753,0.010490
stec8|CLARK-Y,203800.0,0.17,0.5436,0.010290
stec8|CLARK-Y,203800.0,1.19,0.6318,0.010330
stec8|CLARK-Y,203800.0,2.22,0.7223,0.010590
stec8|CLARK-Y,203800.0,3.24,0.8080,0.011070
stec8|CLARK-Y,203800.0,4.27,0.8896,0.011860
stec8|CLARK-Y,203800.0,5.28,0.9646,0.013040
stec8|CLARK-Y,203800.0,6.30,1.0369,0.014470
stec8|CLARK-Y,203800.0,7.31,1.1095,0.015920
stec8|CLARK-Y,203800.0,8.34,1.1787,0.017470
stec8|CLARK-Y,203800.0,9.34,1.2243,0.019050
stec8|CLARK-Y,203800.0,10.34,1.2377,0.022660
