entry,Re,alpha,zCD_oof,dCL_oof
stec8|AQUILA,59400,-1.86,-0.13570,0.00000
stec8|AQUILA,59400,-0.83,-0.05754,0.00000
stec8|AQUILA,59400,0.18,-0.04119,0.00000
stec8|AQUILA,59400,1.2,-0.03890,0.00000
stec8|AQUILA,59400,2.23,-0.02387,0.00000
stec8|AQUILA,59400,3.23,-0.01979,0.00000
stec8|AQUILA,59400,4.26,-0.02667,0.00000
stec8|AQUILA,59400,5.27,-0.02667,0.00000
stec8|AQUILA,59400,6.28,-0.03238,0.00000
stec8|AQUILA,59400,7.3,-0.03238,0.00000
stec8|AQUILA,59400,8.33,-0.03427,0.00000
stec8|AQUILA,59400,9.34,-0.06474,0.00000
stec8|AQUILA,59400,10.34,-0.25300,0.00000
stec8|AQUILA,101100,-1.86,-0.01628,0.00000
stec8|AQUILA,101100,-0.84,0.00138,0.00000
stec8|AQUILA,101100,0.18,0.00904,0.00000
stec8|AQUILA,101100,1.21,0.01728,0.00000
stec8|AQUILA,101100,2.22,0.03231,0.00000
stec8|AQUILA,101100,3.24,0.03639,0.00000
stec8|AQUILA,101100,4.27,0.03639,0.00000
stec8|AQUILA,101100,5.28,0.03639,0.00000
stec8|AQUILA,101100,6.29,0.03639,0.00000
stec8|AQUILA,101100,7.33,0.03089,0.00000
stec8|AQUILA,101100,8.33,0.02596,0.00000
stec8|AQUILA,101100,9.35,0.02573,0.00000
stec8|AQUILA,101100,10.36,0.02164,0.00000
stec8|AQUILA,101100,11.36,0.02468,0.00000
stec8|AQUILA,150500,1.19,0.02579,0.00000
stec8|AQUILA,150500,3.24,0.04490,0.00000
stec8|AQUILA,150500,5.28,0.04490,0.00000
stec8|AQUILA,150500,7.32,0.04302,0.00000
stec8|AQUILA,150500,8.34,0.04025,0.00000
stec8|AQUILA,150500,9.36,0.04279,0.00000
stec8|AQUILA,150500,11.37,0.04563,0.00000
stec8|AQUILA,203900,-1.89,0.01415,0.00000
stec8|AQUILA,203900,-0.85,0.01415,0.00000
stec8|AQUILA,203900,0.17,0.03699,0.00000
stec8|AQUILA,203900,1.19,0.04523,0.00000
stec8|AQUILA,203900,2.22,0.06027,0.00000
stec8|AQUILA,203900,3.26,0.06435,0.00000
stec8|AQUILA,203900,4.26,0.06435,0.00000
stec8|AQUILA,203900,5.28,0.06435,0.00000
stec8|AQUILA,203900,6.31,0.06435,0.00000
stec8|AQUILA,203900,7.32,0.06246,0.00000
stec8|AQUILA,203900,8.34,0.05970,0.00000
stec8|AQUILA,203900,9.35,0.06068,0.00000
stec8|AQUILA,203900,10.37,0.04436,0.00000
stec8|AQUILA,203900,11.35,0.07320,0.00000
stec8|AQUILA,301100,-3.93,-0.02319,0.00000
stec8|AQUILA,301100,-2.91,0.03696,0.00000
stec8|AQUILA,301100,-1.87,0.05644,0.00000
stec8|AQUILA,301100,-0.89,0.05644,0.00000
stec8|AQUILA,301100,0.14,0.07212,0.00000
stec8|AQUILA,301100,1.13,0.08037,0.00000
stec8|AQUILA,301100,2.18,0.09540,0.00000
stec8|AQUILA,301100,3.21,0.09948,0.00000
stec8|AQUILA,301100,4.23,0.09948,0.00000
stec8|AQUILA,301100,5.28,0.09948,0.00000
stec8|AQUILA,301100,6.3,0.09948,0.00000
stec8|AQUILA,301100,7.32,0.09483,0.00000
stec8|CLARK-Y,61300,-3.95,-0.24166,0.00000
stec8|CLARK-Y,61300,-2.92,-0.21661,0.00000
stec8|CLARK-Y,61300,-1.9,-0.17454,0.00000
stec8|CLARK-Y,61300,-0.88,-0.13175,0.00000
stec8|CLARK-Y,61300,0.15,-0.03886,0.00000
stec8|CLARK-Y,61300,1.18,-0.02486,0.00000
stec8|CLARK-Y,61300,2.2,-0.02257,0.00000
stec8|CLARK-Y,61300,3.24,-0.00027,0.00000
stec8|CLARK-Y,61300,4.26,0.00381,0.00000
stec8|CLARK-Y,61300,5.28,0.00381,0.00000
stec8|CLARK-Y,61300,6.29,0.00381,0.00000
stec8|CLARK-Y,61300,7.32,0.00221,0.00000
stec8|CLARK-Y,61300,8.33,0.00032,0.00000
stec8|CLARK-Y,61300,9.34,0.00715,0.00000
stec8|CLARK-Y,61300,10.35,-0.01916,0.00000
stec8|CLARK-Y,61300,11.34,0.00217,0.00000
stec8|CLARK-Y,102600,-3.94,-0.17162,0.00000
stec8|CLARK-Y,102600,-2.92,-0.10337,0.00000
stec8|CLARK-Y,102600,-1.87,-0.05447,0.00000
stec8|CLARK-Y,102600,-0.85,0.01180,0.00000
stec8|CLARK-Y,102600,0.17,0.02091,0.00000
stec8|CLARK-Y,102600,1.2,0.02916,0.00000
stec8|CLARK-Y,102600,2.21,0.05145,0.00000
stec8|CLARK-Y,102600,3.25,0.05553,0.00000
stec8|CLARK-Y,102600,4.25,0.05553,0.00000
stec8|CLARK-Y,102600,5.28,0.05553,0.00000
stec8|CLARK-Y,102600,6.29,0.05553,0.00000
stec8|CLARK-Y,102600,7.32,0.05553,0.00000
stec8|CLARK-Y,102600,8.34,0.05365,0.00000
stec8|CLARK-Y,102600,9.36,0.05342,0.00000
stec8|CLARK-Y,102600,10.36,0.05187,0.00000
stec8|CLARK-Y,102600,11.35,0.07598,0.00000
stec8|CLARK-Y,203800,-3.96,-0.05386,0.00000
stec8|CLARK-Y,203800,-2.9,-0.00220,0.00000
stec8|CLARK-Y,203800,-1.91,0.03976,0.00000
stec8|CLARK-Y,203800,-0.85,0.04886,0.00000
stec8|CLARK-Y,203800,0.17,0.05711,0.00000
stec8|CLARK-Y,203800,1.19,0.07064,0.00000
stec8|CLARK-Y,203800,2.22,0.08349,0.00000
stec8|CLARK-Y,203800,3.24,0.08349,0.00000
stec8|CLARK-Y,203800,4.27,0.08349,0.00000
stec8|CLARK-Y,203800,5.28,0.08349,0.00000
stec8|CLARK-Y,203800,6.3,0.08349,0.00000
stec8|CLARK-Y,203800,7.31,0.08349,0.00000
stec8|CLARK-Y,203800,8.34,0.07884,0.00000
stec8|CLARK-Y,203800,9.34,0.08124,0.00000
stec8|CLARK-Y,203800,10.34,0.07411,0.00000
stec8|CLARK-Y,203800,11.35,0.11619,0.00000
stec8|CLARK-Y,301200,-4.93,-0.01055,0.00000
stec8|CLARK-Y,301200,-3.91,0.00998,0.00000
stec8|CLARK-Y,301200,-2.9,0.04687,0.00000
stec8|CLARK-Y,301200,-1.87,0.08258,0.00000
stec8|CLARK-Y,301200,-0.86,0.08258,0.00000
stec8|CLARK-Y,301200,0.16,0.08732,0.00000
stec8|CLARK-Y,301200,1.2,0.10578,0.00000
stec8|CLARK-Y,301200,2.23,0.11862,0.00000
stec8|CLARK-Y,301200,3.24,0.11862,0.00000
stec8|CLARK-Y,301200,4.26,0.11862,0.00000
stec8|CLARK-Y,301200,5.29,0.11862,0.00000
stec8|DAE51,60400,-2.91,-0.23452,0.00000
stec8|DAE51,60400,-1.89,-0.20492,0.00000
stec8|DAE51,60400,-0.87,-0.12747,0.00000
stec8|DAE51,60400,0.18,-0.06915,0.00000
stec8|DAE51,60400,1.2,-0.03641,0.00000
stec8|DAE51,60400,2.22,-0.02558,0.00000
stec8|DAE51,60400,3.24,-0.01388,0.00000
stec8|DAE51,60400,4.25,-0.01388,0.00000
stec8|DAE51,60400,5.29,-0.01603,0.00000
stec8|DAE51,60400,6.28,-0.01603,0.00000
stec8|DAE51,60400,7.31,-0.03710,0.00000
stec8|DAE51,60400,8.31,-0.03372,0.00000
stec8|DAE51,101400,-2.9,-0.09792,0.00000
stec8|DAE51,101400,-1.87,-0.01522,0.00000
stec8|DAE51,101400,-0.84,0.00622,0.00000
stec8|DAE51,101400,0.18,0.02526,0.00000
stec8|DAE51,101400,1.22,0.04400,0.00000
stec8|DAE51,101400,2.22,0.05563,0.00000
stec8|DAE51,101400,3.25,0.05563,0.00000
stec8|DAE51,101400,4.25,0.05563,0.00000
stec8|DAE51,101400,5.29,0.05348,0.00000
stec8|DAE51,101400,6.3,0.05348,0.00000
stec8|DAE51,101400,7.33,0.04988,0.00000
stec8|DAE51,101400,8.32,0.03142,0.00000
stec8|DAE51,101400,9.33,-0.01081,0.00000
stec8|DAE51,101400,10.33,-0.04760,0.00000
stec8|DAE51,153500,-2.87,-0.02955,0.00000
stec8|DAE51,153500,-1.84,0.00537,0.00000
stec8|DAE51,153500,-0.82,0.02085,0.00000
stec8|DAE51,153500,0.2,0.03887,0.00000
stec8|DAE51,153500,1.2,0.05729,0.00000
stec8|DAE51,153500,2.23,0.05972,0.00000
stec8|DAE51,153500,3.27,0.05972,0.00000
stec8|DAE51,153500,4.28,0.05972,0.00000
stec8|DAE51,153500,5.31,0.05757,0.00000
stec8|DAE51,153500,6.31,0.05757,0.00000
stec8|DAE51,153500,7.32,0.05397,0.00000
stec8|DAE51,153500,8.34,0.02803,0.00000
stec8|DAE51,153500,9.35,-0.00017,0.00000
stec8|DAE51,153500,10.33,-0.00712,0.00000
stec8|DAE51,153500,11.34,-0.02193,0.00000
stec8|DAE51,203200,-2.92,0.01120,0.00000
stec8|DAE51,203200,-1.86,0.03616,0.00000
stec8|DAE51,203200,-0.83,0.03616,0.00000
stec8|DAE51,203200,0.17,0.05418,0.00000
stec8|DAE51,203200,1.21,0.07260,0.00000
stec8|DAE51,203200,2.23,0.07503,0.00000
stec8|DAE51,203200,3.27,0.07503,0.00000
stec8|DAE51,203200,4.26,0.07503,0.00000
stec8|DAE51,203200,5.3,0.07288,0.00000
stec8|DAE51,203200,6.31,0.07257,0.00000
stec8|DAE51,203200,7.31,0.06686,0.00000
stec8|DAE51,203200,8.33,0.02471,0.00000
stec8|DAE51,203200,9.35,0.02215,0.00000
stec8|DAE51,203200,10.33,0.00819,0.00000
stec8|DAE51,203200,11.34,0.00659,0.00000
stec8|DAE51,310400,-2.88,0.04373,0.00000
stec8|DAE51,310400,-1.84,0.06500,0.00000
stec8|DAE51,310400,-0.82,0.06234,0.00000
stec8|DAE51,310400,0.17,0.08037,0.00000
stec8|DAE51,310400,1.22,0.09878,0.00000
stec8|DAE51,310400,2.22,0.10122,0.00000
stec8|DAE51,310400,3.26,0.10122,0.00000
stec8|DAE51,310400,4.24,0.10122,0.00000
stec8|DAE51,310400,5.18,0.09907,0.00000
stec8|DAE51,310400,6.28,0.09907,0.00000
stec8|DAE51,310400,7.31,0.08089,0.00000
stec8|DAE51,310400,8.33,0.05125,0.00000
stec8|DAE51,310400,9.34,0.05085,0.00000
stec8|DAE51,310400,10.34,0.03917,0.00000
stec8|DF101,58100,-4.99,-0.19467,0.00000
stec8|DF101,58100,-3.97,-0.19252,0.00000
stec8|DF101,58100,-2.95,-0.15878,0.00000
stec8|DF101,58100,-1.92,-0.14940,0.00000
stec8|DF101,58100,-0.89,-0.14940,0.00000
stec8|DF101,58100,0.14,-0.12850,0.00000
stec8|DF101,58100,1.17,-0.05309,0.00000
stec8|DF101,58100,2.2,-0.02499,0.00000
stec8|DF101,58100,3.21,-0.00984,0.00000
stec8|DF101,58100,4.23,-0.00091,0.00000
stec8|DF101,58100,5.24,-0.00091,0.00000
stec8|DF101,58100,6.26,-0.00091,0.00000
stec8|DF101,58100,7.28,-0.00306,0.00000
stec8|DF101,58100,8.29,-0.00638,0.00000
stec8|DF101,58100,9.31,-0.01374,0.00000
stec8|DF101,58100,10.31,-0.05302,0.00000
stec8|DF101,101700,-6.0,-0.18800,0.00000
stec8|DF101,101700,-4.97,-0.16146,0.00000
stec8|DF101,101700,-3.97,-0.14221,0.00000
stec8|DF101,101700,-2.95,-0.12630,0.00000
stec8|DF101,101700,-1.91,-0.09230,0.00000
stec8|DF101,101700,-0.87,-0.02552,0.00000
stec8|DF101,101700,0.16,0.01132,0.00000
stec8|DF101,101700,1.17,0.01929,0.00000
stec8|DF101,101700,2.19,0.03294,0.00000
stec8|DF101,101700,3.21,0.04300,0.00000
stec8|DF101,101700,4.24,0.04615,0.00000
stec8|DF101,101700,5.25,0.04615,0.00000
stec8|DF101,101700,6.26,0.04615,0.00000
stec8|DF101,101700,7.28,0.04180,0.00000
stec8|DF101,101700,8.3,0.04212,0.00000
stec8|DF101,101700,9.32,0.05417,0.00000
stec8|DF101,101700,10.33,0.03389,0.00000
stec8|DF101,101700,11.33,0.08451,0.00000
stec8|DF101,153700,-5.99,-0.18755,0.00000
stec8|DF101,153700,-4.97,-0.13398,0.00000
stec8|DF101,153700,-3.95,-0.11502,0.00000
stec8|DF101,153700,-2.93,-0.08135,0.00000
stec8|DF101,153700,-1.9,-0.05313,0.00000
stec8|DF101,153700,-0.87,0.01672,0.00000
stec8|DF101,153700,0.16,0.02986,0.00000
stec8|DF101,153700,1.17,0.03276,0.00000
stec8|DF101,153700,2.19,0.05069,0.00000
stec8|DF101,153700,3.22,0.05647,0.00000
stec8|DF101,153700,4.23,0.05962,0.00000
stec8|DF101,153700,5.26,0.05962,0.00000
stec8|DF101,153700,6.27,0.05639,0.00000
stec8|DF101,153700,7.29,0.05527,0.00000
stec8|DF101,153700,8.31,0.05559,0.00000
stec8|DF101,153700,9.32,0.06272,0.00000
stec8|DF101,153700,10.33,0.05023,0.00000
stec8|DF101,153700,11.34,0.12633,0.00000
stec8|DF101,201400,-5.99,-0.13606,0.00000
stec8|DF101,201400,-4.97,-0.11038,0.00000
stec8|DF101,201400,-3.93,-0.06950,0.00000
stec8|DF101,201400,-2.92,-0.03989,0.00000
stec8|DF101,201400,-1.89,-0.00831,0.00000
stec8|DF101,201400,-0.88,0.02417,0.00000
stec8|DF101,201400,0.15,0.03730,0.00000
stec8|DF101,201400,1.18,0.04020,0.00000
stec8|DF101,201400,2.2,0.05814,0.00000
stec8|DF101,201400,3.22,0.06391,0.00000
stec8|DF101,201400,4.24,0.06707,0.00000
stec8|DF101,201400,5.25,0.06707,0.00000
stec8|DF101,201400,6.26,0.06271,0.00000
stec8|DF101,201400,7.29,0.06303,0.00000
stec8|DF101,201400,8.3,0.06303,0.00000
stec8|DF101,201400,9.32,0.06501,0.00000
stec8|DF101,201400,10.33,0.06076,0.00000
stec8|DF101,201400,11.34,0.13584,0.00000
stec8|DF101,305500,-6.0,-0.06595,0.00000
stec8|DF101,305500,-4.96,-0.05097,0.00000
stec8|DF101,305500,-3.94,-0.00654,0.00000
stec8|DF101,305500,-2.93,0.01059,0.00000
stec8|DF101,305500,-1.9,0.04286,0.00000
stec8|DF101,305500,-0.88,0.06402,0.00000
stec8|DF101,305500,0.14,0.07209,0.00000
stec8|DF101,305500,1.17,0.07499,0.00000
stec8|DF101,305500,2.19,0.09142,0.00000
stec8|DF101,305500,3.21,0.09870,0.00000
stec8|DF101,305500,4.24,0.10186,0.00000
stec8|DF101,305500,5.25,0.10186,0.00000
stec8|DF101,305500,6.26,0.09750,0.00000
stec8|DF101,305500,7.29,0.09782,0.00000
stec8|DF101,305500,8.31,0.09250,0.00000
stec8|DF101,305500,9.31,0.09980,0.00000
stec8|DF101,305500,10.34,0.09102,0.00000
stec8|DF102,59100,-3.98,-0.19252,0.00000
stec8|DF102,59100,-2.96,-0.15878,0.00000
stec8|DF102,59100,-1.93,-0.14940,0.00000
stec8|DF102,59100,-0.93,-0.14940,0.00000
stec8|DF102,59100,0.12,-0.13593,0.00000
stec8|DF102,59100,1.15,-0.06470,0.00000
stec8|DF102,59100,2.18,-0.02499,0.00000
stec8|DF102,59100,3.19,-0.00697,0.00000
stec8|DF102,59100,4.22,-0.00091,0.00000
stec8|DF102,59100,5.23,-0.00091,0.00000
stec8|DF102,59100,6.25,-0.00526,0.00000
stec8|DF102,59100,7.27,-0.00741,0.00000
stec8|DF102,59100,8.28,-0.00665,0.00000
stec8|DF102,59100,9.27,-0.02311,0.00000
stec8|DF102,59100,10.25,-0.05958,0.00000
stec8|DF102,100200,-3.97,-0.14630,0.00000
stec8|DF102,100200,-2.95,-0.12630,0.00000
stec8|DF102,100200,-1.92,-0.10158,0.00000
stec8|DF102,100200,-0.89,-0.02820,0.00000
stec8|DF102,100200,0.13,0.01132,0.00000
stec8|DF102,100200,1.16,0.01929,0.00000
stec8|DF102,100200,2.18,0.03294,0.00000
stec8|DF102,100200,3.2,0.04300,0.00000
stec8|DF102,100200,4.23,0.04615,0.00000
stec8|DF102,100200,5.22,0.04180,0.00000
stec8|DF102,100200,6.26,0.04212,0.00000
stec8|DF102,100200,7.26,0.04212,0.00000
stec8|DF102,100200,8.28,0.04212,0.00000
stec8|DF102,100200,9.29,0.05591,0.00000
stec8|DF102,100200,10.32,0.05115,0.00000
stec8|DF102,100200,11.31,0.07936,0.00000
stec8|DF102,149100,-3.95,-0.13240,0.00000
stec8|DF102,149100,-2.43,-0.07380,0.00000
stec8|DF102,149100,-0.89,0.00791,0.00000
stec8|DF102,149100,0.65,0.02394,0.00000
stec8|DF102,149100,2.17,0.04188,0.00000
stec8|DF102,149100,3.7,0.05081,0.00000
stec8|DF102,149100,5.24,0.04645,0.00000
stec8|DF102,149100,6.76,0.04677,0.00000
stec8|DF102,149100,8.29,0.04474,0.00000
stec8|DF102,149100,9.81,0.04867,0.00000
stec8|DF102,149100,11.32,0.11700,0.00000
stec8|DF102,200900,-3.97,-0.07877,0.00000
stec8|DF102,200900,-2.96,-0.03989,0.00000
stec8|DF102,200900,-1.93,-0.00831,0.00000
stec8|DF102,200900,-0.91,0.02417,0.00000
stec8|DF102,200900,0.13,0.03730,0.00000
stec8|DF102,200900,1.16,0.04020,0.00000
stec8|DF102,200900,2.17,0.05814,0.00000
stec8|DF102,200900,3.19,0.06391,0.00000
