section,alpha_test,M,cl,u_cl
16-009,-0.23,0.3,-0.01,0.015
16-009,-0.23,0.5,-0.01,0.015
16-009,-0.23,0.7,-0.01,0.015
16-009,-0.23,0.75,-0.01,0.015
16-009,1.77,0.3,0.188,0.01
16-009,1.77,0.5,0.185,0.01
16-009,1.77,0.7,0.22,0.012
16-009,1.77,0.75,0.241,0.012
16-109,-0.23,0.3,0.065,0.01
16-109,-0.23,0.5,0.072,0.01
16-109,-0.23,0.7,0.083,0.01
16-109,-0.23,0.75,0.089,0.01
16-109,1.77,0.3,0.273,0.013
16-109,1.77,0.5,0.285,0.01
16-109,1.77,0.7,0.345,0.01
16-109,1.77,0.75,0.383,0.012
16-209,-0.23,0.3,0.13,0.015
16-209,-0.23,0.5,0.142,0.015
16-209,-0.23,0.7,0.166,0.015
16-209,-0.23,0.75,0.177,0.015
16-209,1.77,0.3,0.331,0.015
16-209,1.77,0.5,0.343,0.015
16-209,1.77,0.7,0.401,0.015
16-209,1.77,0.75,0.442,0.015
16-306,-0.23,0.3,0.228,0.01
16-306,-0.23,0.5,0.24,0.01
16-306,-0.23,0.7,0.292,0.012
16-306,-0.23,0.75,0.325,0.015
16-306,1.77,0.3,0.465,0.01
16-306,1.77,0.5,0.48,0.01
16-306,1.77,0.7,0.61,0.015
16-306,1.77,0.75,0.737,0.015
16-309,-0.23,0.3,0.2,0.015
16-309,-0.23,0.5,0.215,0.015
16-309,-0.23,0.7,0.28,0.015
16-309,-0.23,0.75,0.3,0.02
16-309,1.77,0.3,0.42,0.015
16-309,1.77,0.5,0.445,0.02
16-309,1.77,0.7,0.61,0.02
16-309,1.77,0.75,0.63,0.025
16-312,-0.23,0.3,0.19,0.015
16-312,-0.23,0.5,0.203,0.015
16-312,-0.23,0.7,0.247,0.015
16-312,1.77,0.3,0.4,0.015
16-312,1.77,0.5,0.447,0.015
16-312,1.77,0.7,0.49,0.018
16-315,-0.23,0.3,0.167,0.01
16-315,-0.23,0.5,0.172,0.01
16-315,-0.23,0.7,0.171,0.01
16-315,1.77,0.3,0.361,0.015
16-315,1.77,0.5,0.387,0.015
16-315,1.77,0.7,0.412,0.015
16-509,-0.23,0.3,0.386,0.01
16-509,-0.23,0.5,0.419,0.01
16-509,-0.23,0.7,0.516,0.01
16-509,-0.23,0.75,0.533,0.01
16-509,1.77,0.3,0.613,0.01
16-509,1.77,0.5,0.657,0.012
16-509,1.77,0.7,0.706,0.01
16-509,1.77,0.75,0.704,0.015
