airfoil,panel,cn,M_dr,u_M
64A004,"TOP - thickness series, labels as printe",0,0.906,0.004
64A004,"TOP - thickness series, labels as printe",0.1,0.904,0.003
64A004,"TOP - thickness series, labels as printe",0.2,0.895,0.003
64A004,"TOP - thickness series, labels as printe",0.3,0.873,0.003
64A004,"TOP - thickness series, labels as printe",0.35,0.854,0.004
64A004,"TOP - thickness series, labels as printe",0.39,0.834,0.005
64A006,"TOP - thickness series, labels as printe",0,0.9,0.004
64A006,"TOP - thickness series, labels as printe",0.1,0.89,0.003
64A006,"TOP - thickness series, labels as printe",0.2,0.873,0.003
64A006,"TOP - thickness series, labels as printe",0.3,0.842,0.003
64A006,"TOP - thickness series, labels as printe",0.35,0.816,0.004
64A006,"TOP - thickness series, labels as printe",0.4,0.793,0.003
64A006,"TOP - thickness series, labels as printe",0.45,0.771,0.004
64A009,"TOP - thickness series, labels as printe",0,0.849,0.003
64A009,"TOP - thickness series, labels as printe",0.1,0.846,0.003
64A009,"TOP - thickness series, labels as printe",0.2,0.842,0.003
64A009,"TOP - thickness series, labels as printe",0.3,0.835,0.004
64A009,"TOP - thickness series, labels as printe",0.4,0.825,0.003
64A009,"TOP - thickness series, labels as printe",0.45,0.814,0.004
64A009,"TOP - thickness series, labels as printe",0.5,0.793,0.004
64A009,"TOP - thickness series, labels as printe",0.52,0.78,0.005
64A012,"TOP - thickness series, labels as printe",0,0.8,0.004
64A012,"TOP - thickness series, labels as printe",0.1,0.795,0.003
64A012,"TOP - thickness series, labels as printe",0.2,0.787,0.003
64A012,"TOP - thickness series, labels as printe",0.3,0.776,0.003
64A012,"TOP - thickness series, labels as printe",0.4,0.761,0.003
64A012,"TOP - thickness series, labels as printe",0.5,0.743,0.003
64A012,"TOP - thickness series, labels as printe",0.6,0.723,0.003
64A012,"TOP - thickness series, labels as printe",0.64,0.716,0.004
64A006,"MIDDLE - camber series, labels as printe",0,0.9,0.004
64A006,"MIDDLE - camber series, labels as printe",0.1,0.892,0.003
64A006,"MIDDLE - camber series, labels as printe",0.2,0.873,0.003
64A006,"MIDDLE - camber series, labels as printe",0.3,0.839,0.004
64A006,"MIDDLE - camber series, labels as printe",0.4,0.793,0.003
64A006,"MIDDLE - camber series, labels as printe",0.45,0.77,0.004
64A206,"MIDDLE - camber series, labels as printe",0,0.842,0.004
64A206,"MIDDLE - camber series, labels as printe",0.1,0.853,0.003
64A206,"MIDDLE - camber series, labels as printe",0.15,0.855,0.003
64A206,"MIDDLE - camber series, labels as printe",0.2,0.854,0.003
64A206,"MIDDLE - camber series, labels as printe",0.3,0.839,0.004
64A206,"MIDDLE - camber series, labels as printe",0.4,0.822,0.004
64A206,"MIDDLE - camber series, labels as printe",0.5,0.808,0.003
