# NACA TN 3607 Table I (continued), cambered sections, scan page 25 (printed page 21).
# Transcribed from the printed numeric table: exact as published, percent of chord.
# 64A206: LE radius 0.246, TE radius 0.014, slope of radius through LE 0.095
# 64A506: LE radius 0.246, TE radius 0.014, slope of radius through LE 0.238
section,surface,station_pct,ordinate_pct
64A206,upper,0,0
64A206,upper,0.454,0.539
64A206,upper,0.699,0.622
64A206,upper,1.192,0.858
64A206,upper,2.432,1.225
64A206,upper,4.924,1.758
64A206,upper,7.421,2.168
64A206,upper,9.921,2.513
64A206,upper,14.924,3.063
64A206,upper,19.931,3.486
64A206,upper,24.940,3.807
64A206,upper,29.950,4.044
64A206,upper,34.961,4.201
64A206,upper,39.973,4.278
64A206,upper,44.985,4.259
64A206,upper,49.997,4.155
64A206,upper,55.007,3.979
64A206,upper,60.017,3.740
64A206,upper,65.026,3.443
64A206,upper,70.033,3.090
64A206,upper,75.039,2.682
64A206,upper,80.046,2.219
64A206,upper,85.045,1.637
64A206,upper,90.032,1.138
64A206,upper,95.016,0.576
64A206,upper,100.000,0.013
64A206,lower,0,0
64A206,lower,0.546,-0.427
64A206,lower,0.801,-0.504
64A206,lower,1.308,-0.616
64A206,lower,2.568,-0.803
64A206,lower,5.076,-1.036
64A206,lower,7.579,-1.196
64A206,lower,10.079,-1.321
64A206,lower,15.076,-1.501
64A206,lower,20.069,-1.626
64A206,lower,25.060,-1.705
64A206,lower,30.050,-1.748
64A206,lower,35.039,-1.753
64A206,lower,40.027,-1.720
64A206,lower,45.015,-1.631
64A206,lower,50.003,-1.495
64A206,lower,54.993,-1.327
64A206,lower,59.983,-1.136
64A206,lower,64.974,-0.933
64A206,lower,69.967,-0.724
64A206,lower,74.961,-0.522
64A206,lower,79.954,-0.349
64A206,lower,84.955,-0.245
64A206,lower,89.968,-0.158
64A206,lower,94.984,-0.086
64A206,lower,100.000,-0.013
64A506,upper,0,0
64A506,upper,0.388,0.613
64A506,upper,0.624,0.769
64A506,upper,1.107,1.027
64A506,upper,2.333,1.530
64A506,upper,4.812,2.288
64A506,upper,7.304,2.889
64A506,upper,9.803,3.400
64A506,upper,14.812,4.227
64A506,upper,19.828,4.877
64A506,upper,24.850,5.382
64A506,upper,29.876,5.764
64A506,upper,34.903,6.035
64A506,upper,39.932,6.195
64A506,upper,44.962,6.231
64A506,upper,49.991,6.151
64A506,upper,55.019,5.969
64A506,upper,60.043,5.692
64A506,upper,65.064,5.324
64A506,upper,70.082,4.862
64A506,upper,75.096,4.300
64A506,upper,80.115,3.617
64A506,upper,85.113,2.764
64A506,upper,90.079,1.870
64A506,upper,95.040,0.942
64A506,upper,100.000,0.013
64A506,lower,0,0
64A506,lower,0.612,-0.331
64A506,lower,0.876,-0.373
64A506,lower,1.393,-0.423
64A506,lower,2.667,-0.474
64A506,lower,5.188,-0.484
64A506,lower,7.696,-0.457
64A506,lower,10.197,-0.418
64A506,lower,15.188,-0.323
64A506,lower,20.172,-0.225
64A506,lower,25.150,-0.124
64A506,lower,30.124,-0.022
64A506,lower,35.097,0.085
64A506,lower,40.068,0.199
64A506,lower,45.038,0.341
64A506,lower,50.009,0.501
64A506,lower,54.981,0.663
64A506,lower,59.957,0.816
64A506,lower,64.936,0.950
64A506,lower,69.918,1.052
64A506,lower,74.904,1.102
64A506,lower,79.885,1.057
64A506,lower,84.887,0.844
64A506,lower,89.921,0.582
64A506,lower,94.960,0.284
64A506,lower,100.000,-0.013
