# NACA TN 3607 Table I, Airfoil Ordinates. Scan page 25 (printed page 21).
# TRANSCRIBED FROM A PRINTED NUMERIC TABLE, not digitized from a plot: these values are exact as published.
# Stations and ordinates in percent of airfoil chord. For the seven symmetric sections the ordinate is the
# half-thickness (surface is +/- ordinate). The two cambered sections are given as separate upper/lower surfaces below.
# Transcribed 2026-08-25. Internal consistency checks passed: ordinates scale linearly with t/c across the 64A0XX
# family and LE radius scales as t/c squared (0.106/0.246/0.556/0.994 for 4/6/9/12 percent).
section,station_pct,ordinate_pct
64A004,0,0
64A004,0.5,0.323
64A004,0.75,0.390
64A004,1.25,0.493
64A004,2.50,0.678
64A004,5.0,0.932
64A004,7.5,1.122
64A004,10.0,1.278
64A004,15,1.520
64A004,20,1.702
64A004,25,1.836
64A004,30,1.929
64A004,35,1.983
64A004,40,1.999
64A004,45,1.966
64A004,50,1.889
64A004,55,1.776
64A004,60,1.634
64A004,65,1.469
64A004,70,1.282
64A004,75,1.078
64A004,80,0.866
64A004,85,0.652
64A004,90,0.438
64A004,95,0.223
64A004,100,0.008
64A006,0,0
64A006,0.5,0.485
64A006,0.75,0.585
64A006,1.25,0.739
64A006,2.50,1.016
64A006,5.0,1.399
64A006,7.5,1.684
64A006,10.0,1.919
64A006,15,2.283
64A006,20,2.557
64A006,25,2.757
64A006,30,2.896
64A006,35,2.977
64A006,40,2.999
64A006,45,2.945
64A006,50,2.825
64A006,55,2.653
64A006,60,2.438
64A006,65,2.188
64A006,70,1.907
64A006,75,1.602
64A006,80,1.285
64A006,85,0.967
64A006,90,0.649
64A006,95,0.331
64A006,100,0.013
64A009,0,0
64A009,0.5,0.725
64A009,0.75,0.873
64A009,1.25,1.104
64A009,2.50,1.521
64A009,5.0,2.095
64A009,7.5,2.525
64A009,10.0,2.879
64A009,15,3.430
64A009,20,3.844
64A009,25,4.144
64A009,30,4.351
64A009,35,4.469
64A009,40,4.497
64A009,45,4.408
64A009,50,4.221
64A009,55,3.956
64A009,60,3.629
64A009,65,3.248
64A009,70,2.825
64A009,75,2.371
64A009,80,1.901
64A009,85,1.431
64A009,90,0.961
64A009,95,0.490
64A009,100,0.018
64A012,0,0
64A012,0.5,0.961
64A012,0.75,1.158
64A012,1.25,1.464
64A012,2.50,2.018
64A012,5.0,2.788
64A012,7.5,3.364
64A012,10.0,3.839
64A012,15,4.580
64A012,20,5.132
64A012,25,5.534
64A012,30,5.809
64A012,35,5.965
64A012,40,5.993
64A012,45,5.863
64A012,50,5.605
64A012,55,5.244
64A012,60,4.801
64A012,65,4.289
64A012,70,3.721
64A012,75,3.118
64A012,80,2.500
64A012,85,1.882
64A012,90,1.263
64A012,95,0.644
64A012,100,0.025
63A009,0,0
63A009,0.5,0.737
63A009,0.75,0.887
63A009,1.25,1.127
63A009,2.50,1.564
63A009,5.0,2.171
63A009,7.5,2.624
63A009,10.0,2.990
63A009,15,3.552
63A009,20,3.956
63A009,25,4.240
63A009,30,4.419
63A009,35,4.495
63A009,40,4.473
63A009,45,4.359
63A009,50,4.161
63A009,55,3.891
63A009,60,3.560
63A009,65,3.177
63A009,70,2.751
63A009,75,2.301
63A009,80,1.845
63A009,85,1.389
63A009,90,0.932
63A009,95,0.475
63A009,100,0.019
65A009,0,0
65A009,0.5,0.690
65A009,0.75,0.837
65A009,1.25,1.068
65A009,2.50,1.463
65A009,5.0,1.965
65A009,7.5,2.385
65A009,10.0,2.736
65A009,15,3.292
65A009,20,3.714
65A009,25,4.034
65A009,30,4.266
65A009,35,4.420
65A009,40,4.495
65A009,45,4.486
65A009,50,4.379
65A009,55,4.174
65A009,60,3.881
65A009,65,3.519
65A009,70,3.099
65A009,75,2.631
65A009,80,2.127
65A009,85,1.602
65A009,90,1.075
65A009,95,0.547
65A009,100,0.020
16-009,0,0
16-009,1.25,0.969
16-009,2.50,1.354
16-009,5.0,1.882
16-009,7.5,2.274
16-009,10.0,2.593
16-009,15,3.101
16-009,20,3.498
16-009,25,3.812
16-009,30,4.063
16-009,40,4.391
16-009,50,4.500
16-009,60,4.376
16-009,70,3.952
16-009,80,3.149
16-009,90,1.888
16-009,95,1.061
16-009,100,0.090
