airfoil,Re,alpha,xfoil_converged,CL_xfoil,CD_xfoil,CL_nf,CD_nf,CD_spread5_counts
oa206,1000000.0,-2.0,1,-0.1928,0.00804,-0.19042177791221293,0.007514347203101961,4.294309592602152
oa206,1000000.0,0.0,1,0.0242,0.00415,0.015139941619614516,0.004179845519038693,15.295716688644001
oa206,1000000.0,2.0,1,0.2307,0.00512,0.22868256071062099,0.005374205949666216,7.399782879417924
oa206,1000000.0,6.0,1,0.6989,0.01057,0.7009337998030682,0.01007622999836605,13.570233157326351
oa206,1000000.0,10.0,1,1.0435,0.0401,1.0873548453505446,0.027848165605917952,23.00602662259236
oa206,5000000.0,-2.0,1,-0.209,0.00572,-0.21236460190935447,0.005696037656176565,4.1119423581022305
oa206,5000000.0,0.0,1,0.0261,0.00591,0.025173502038888684,0.005803621359017185,3.2475658176014424
oa206,5000000.0,2.0,1,0.2625,0.00451,0.26556988643481994,0.004587322754344441,8.205365128784777
oa206,5000000.0,6.0,1,0.7194,0.00742,0.7190313184491972,0.007308724415763564,1.95204555819538
oa206,5000000.0,10.0,1,1.1561,0.0124,1.1593020684748245,0.012272225967524789,3.4841021874980513
goe199,200000.0,-2.0,1,0.2907,0.02649,0.2838902136951525,0.027065720238974085,36.07235213117711
goe199,200000.0,0.0,1,0.489,0.01757,0.5116932242634439,0.015867677870048644,7.901027478102451
goe199,200000.0,2.0,1,0.7245,0.01331,0.7242151453511467,0.010788497226863642,12.189767797335522
goe199,200000.0,6.0,1,1.1288,0.01711,1.1443783863325256,0.016199934963003607,11.1512799550653
goe199,200000.0,10.0,1,1.4405,0.02833,1.5175919152531518,0.022705611789960996,17.388554882839525
goe199,5000000.0,-2.0,1,0.264,0.01005,0.2641086063865241,0.006819468611737775,1.751495195879407
goe199,5000000.0,0.0,1,0.493,0.00899,0.4968548692380602,0.007150042924542841,3.219906699840659
goe199,5000000.0,2.0,1,0.7202,0.00836,0.728676405261848,0.0073497733581718684,3.504058918364682
goe199,5000000.0,6.0,1,1.1679,0.00792,1.1739588382698691,0.007218011761253973,4.1283490400949825
goe199,5000000.0,10.0,1,1.5757,0.01347,1.586102377306861,0.012968742629382751,2.9134307294086463
dga1138,1000000.0,-2.0,1,0.1319,0.00757,0.13835105906378153,0.0064379445229040475,7.718351381788436
dga1138,1000000.0,0.0,1,0.3443,0.00745,0.3710793336400954,0.004892243726210996,13.223243908484072
dga1138,1000000.0,2.0,1,0.5747,0.00771,0.5872817934174777,0.0061610515368230555,5.23064856377372
dga1138,1000000.0,6.0,1,0.9633,0.01425,0.9660181486812047,0.01389296024387201,4.294255894559378
dga1138,1000000.0,10.0,0,,,1.1853383937904372,0.04083157581527582,340.8916299325867
oa206,200000.0,-2.0,1,-0.1678,0.01255,-0.1699305066043557,0.01207192431784073,3.9434033554854726
oa206,200000.0,0.0,1,0.0321,0.0077,0.0475195008159891,0.007824042602246973,14.94610614624841
oa206,200000.0,2.0,1,0.273,0.00802,0.2677487570693243,0.007950475959694692,15.447240834793302
oa206,200000.0,6.0,1,0.6838,0.01799,0.6855358117493314,0.016843939192968185,33.868063844120186
oa206,200000.0,10.0,0,,,0.7934084532613064,0.10610340527837608,181.23327974564202
dga1138,200000.0,-2.0,1,0.0551,0.01332,0.013074452639000866,0.013290904951873083,12.569506428537839
dga1138,200000.0,0.0,1,0.3794,0.00957,0.36232527896201144,0.010152425225258995,4.748712636328447
dga1138,200000.0,2.0,1,0.5949,0.00915,0.6004929703072743,0.009228050687894515,14.322443231306291
dga1138,200000.0,6.0,1,0.9366,0.02031,0.9416464963228752,0.019231171651281385,21.634078020690563
dga1138,200000.0,10.0,0,,,1.096866754079034,0.059179765147316016,249.09309420428266
